location_id,date,latitude,longitude,rainfall_mm,rainfall_1d_mm,consecutive_rainy_days,consecutive_heavy_rain_days
AIZ_GRID_040_23.738889_92.696389,2026-09-10,23.738889,92.696389,7.6,7.6,8,0
AIZ_GRID_040_23.739472_92.696667,2026-09-10,23.739472,92.696667,7.6,7.6,8,0
AIZ_GRID_040_23.740278_92.697222,2026-09-10,23.740278,92.697222,7.6,7.6,8,0
AIZ_GRID_040_23.740667_92.693361,2026-09-10,23.740667,92.693361,7.6,7.6,8,0
AIZ_GRID_040_23.738575_92.694194,2026-09-10,23.738575,92.694194,7.6,7.6,8,0
AIZ_GRID_040_23.744722_92.692778,2026-09-10,23.744722,92.692778,7.6,7.6,8,0
AIZ_GRID_040_23.741167_92.694556,2026-09-10,23.741167,92.694556,7.6,7.6,8,0
AIZ_GRID_040_23.7375_92.694444,2026-09-10,23.7375,92.694444,7.6,7.6,8,0
AIZ_GRID_040_23.733861_92.694917,2026-09-10,23.733861,92.694917,7.6,7.6,8,0
AIZ_GRID_040_23.726694_92.695194,2026-09-10,23.726694,92.695194,7.6,7.6,8,0
AIZ_GRID_040_23.733611_92.693889,2026-09-10,23.733611,92.693889,7.6,7.6,8,0
AIZ_GRID_040_23.734722_92.695,2026-09-10,23.734722,92.695,7.6,7.6,8,0
AIZ_GRID_040_23.733056_92.699444,2026-09-10,23.733056,92.699444,7.6,7.6,8,0
AIZ_GRID_040_23.749722_92.698333,2026-09-10,23.749722,92.698333,7.6,7.6,8,0
AIZ_GRID_041_23.731111_92.702222,2026-09-10,23.731111,92.702222,4.7,4.7,8,0
AIZ_GRID_041_23.731111_92.703889,2026-09-10,23.731111,92.703889,4.7,4.7,8,0
AIZ_GRID_041_23.733333_92.705278,2026-09-10,23.733333,92.705278,4.7,4.7,8,0
AIZ_GRID_040_23.735833_92.697778,2026-09-10,23.735833,92.697778,7.6,7.6,8,0
AIZ_GRID_041_23.731328_92.708219,2026-09-10,23.731328,92.708219,4.7,4.7,8,0
AIZ_GRID_041_23.724283_92.707378,2026-09-10,23.724283,92.707378,4.7,4.7,8,0
AIZ_GRID_041_23.722769_92.70665,2026-09-10,23.722769,92.70665,4.7,4.7,8,0
AIZ_GRID_041_23.714464_92.711464,2026-09-10,23.714464,92.711464,4.7,4.7,8,0
